genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Caldisphaera lagunensis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,45,72.5,80,464580,30.034017607441204,1546846,RS_GCF_000317795.1,1352501,87.43604728589659,SAMN02261426,Philippines,An acidic hot spring; Philippines,none,TRUE,0,Caldisphaera lagunensis DSM 15908,1507,3,46,1525,19,46,99.71,0.34
Caldivirga maquilingensis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,60,85,92,895345,43.095842396418504,2077567,RS_GCF_000018305.1,1838961,88.51512369998176,SAMN00623034,none,none,none,TRUE,0,Caldivirga maquilingensis IC-167,2023,3,41,2077,18,42,99.97,0.19
Conexivisphaera calidus,Archaea,Candidatus Geothermarchaeota,NA,NA,NA,Conexivisphaera,60,65,70,989314,62.06868427293523,1593902,RS_GCF_013340765.1,1429829,89.70620527485379,SAMD00056253,Japan:Tochigi; Oku-Shiobara; Arayu,water,36.955 N 139.780 E,TRUE,0,Conexivisphaera calida,none,3,46,1614,18,46,99.33,0.71
Cuniculiplasma divulgatum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,10,38.5,48,723052,37.295732860026234,1938699,RS_GCF_900083515.1,1710894,88.2495941866169,SAMEA3719625,Spain,acidic streamer,37.6 N 7.1 W,TRUE,0,Cuniculiplasma divulgatum,none,3,46,1960,19,46,99.34,0.35
Desulfurococcus amylolyticus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,68,91,97,568445,44.86125206965729,1268528,RS_GCF_023256035.1,1130865,89.1478154207081,SAMN17914465,Russia: Kamchatka; Uzon Caldera,thermophilic sediment from neutral hot spring,54.5 N 159.97 E,FALSE,0,Desulfurococcus amylolyticus,none,2,37,1354,18,38,99.45,0.12
Ferroglobus placidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,65,85,95,969331,44.13540982740706,2196266,RS_GCF_000025505.1,2027994,92.33826867965902,SAMN02598503,Italy,Derek Lovley (dlovley@microbio.umass.edu),none,TRUE,0,Ferroglobus placidus DSM 10642,2521,3,49,2599,19,49,99.98,0.03
Ferroplasma acidarmanus,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,23,42,46,705690,36.46603603352215,1935211,RS_GCF_000152265.2,1705679,88.13917448794989,SAMN02604346,USA: Iron Mountain; CA,isolated from slime streamers and attached to pyrite surfaces at a sulfide ore body,40.40 N 122.31 W,FALSE,0,Ferroplasma acidarmanus Fer1,1900,3,45,1951,19,45,99.7,0.25
Ferroplasma acidiphilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,20,35,45,666697,36.49249046084087,1826943,RS_GCF_002078355.1,1603244,87.75555668677129,SAMN03952737,Kazakhstan: Bakyrtchik,pyrite-leaching pilot plant,none,TRUE,0,Ferroplasma acidiphilum,1790,3,45,1829,19,45,99.76,0.2
Fervidicoccus fontis,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,55,67.5,85,479793,37.36216756686041,1284168,RS_GCF_015209645.1,1123433,87.48333551373341,SAMN16551757,Russia: Kamchatka,hot spring in caldera Uzon,54.500083 N 160.0122 E,FALSE,0,Fervidicoccus fontis,none,3,43,1328,18,43,99.54,0.14
Geoglobus acetivorans,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,50,81,85,871618,46.84065852865545,1860815,RS_GCF_000789255.1,1715598,92.19605387961728,SAMN03070125,none,none,none,TRUE,0,Geoglobus acetivorans,none,3,48,2232,19,48,99.99,0.05
Geoglobus ahangari,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,65,88,90,940071,53.108565482152635,1770093,RS_GCF_001006045.1,1647611,93.08047656253088,SAMN02988852,USA: Guaymas basin,marine hydrothermal vent,27 N 111 W,TRUE,0,Geoglobus ahangari,2007,3,46,2033,19,47,99.99,0.05
Haladaptatus cibarius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,15,37,50,2267915,57.755905431601505,3926724,RS_GCF_000710615.1,3373369,85.90797316032398,SAMN02629026,South Korea,Traditional salt-fermented seafood in Korea,none,TRUE,0,Haladaptatus cibarius D43,3942,6,47,4125,19,46,99.97,0.83
Haladaptatus litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,25,38.5,55,2662419,56.99107508666118,4671707,RS_GCF_900156425.1,3937490,84.28375324051787,SAMN05421858,none,none,none,TRUE,0,Haladaptatus litoreus,4748,5,50,5014,19,49,100,6.96
Haladaptatus pallidirubidus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,25,39.5,50,3514871,56.05389089678513,6270521,RS_GCF_020700235.1,5154996,82.21001093848501,SAMN22364628,China: Xinjiang,saline soil,none,TRUE,0,Haladaptatus pallidirubidus,none,9,56,6785,19,55,99.99,15.06
Haladaptatus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,25,40,45,2666785,61.76637826908178,4317540,RS_GCF_000376445.1,3707634,85.87376144749093,SAMN02441396,USA,none,34.996 N 98.688 W,TRUE,0,Haladaptatus paucihalophilus DX253,4262,6,50,4391,19,49,99.95,2.51
Halalkalicoccus jeotgali,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,21,41,50,2312418,62.52081510026532,3698650,RS_GCF_000196895.1,3204270,86.6335014126776,SAMN02603490,none,none,none,TRUE,0,Halalkalicoccus jeotgali B3,3757,3,49,3930,19,48,98.58,0.2
Halalkalicoccus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,16,37,50,2454757,61.67095851934851,3980410,RS_GCF_001593955.1,3344852,84.03285088722016,SAMN04516086,China: Xinjiang Province,soil,none,TRUE,0,Halalkalicoccus paucihalophilus,3999,3,51,4188,19,49,94.55,0.35
Halalkalicoccus tibetensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,23,40,47,2306717,64.13838128453213,3596477,RS_GCF_037996645.1,3024856,84.1060849269994,SAMN40704560,none,none,none,TRUE,0,Halalkalicoccus tibetensis,none,3,47,3745,19,48,97.31,0.99
Halapricum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,30,37,45,2200123,63.733699569184274,3452056,RS_GCF_004799665.1,3090429,89.52430088040286,SAMN09711547,South Korea,solar saltern in Gomso Bay,none,TRUE,0,Halapricum salinum,none,3,45,3452,19,45,99.98,1.1
Halarchaeum acidiphilum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,15,37,45,1771501,67.38373981636943,2628974,RS_GCF_000474235.1,2259171,85.9335619142677,SAMD00036764,none,none,none,TRUE,0,Halarchaeum acidiphilum MH1-52-1,2687,4,46,2856,19,46,89.51,2.42
Halarchaeum grantii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,35,45,50,2055024,67.94220186367747,3024665,RS_GCF_014647455.2,2652850,87.70723369364872,SAMD00245279,none,none,none,TRUE,0,Halarchaeum grantii,none,3,46,3085,19,46,96.84,1.01
Halarchaeum nitratireducens,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,18,45,55,2111527,67.22071447558804,3141185,RS_GCF_014647155.1,2741639,87.28040532474209,SAMD00245262,none,none,none,TRUE,0,Halarchaeum nitratireducens,none,2,46,3219,19,46,98.23,3.11
Halarchaeum rubridurum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,20,42.5,50,1931868,68.66315223788929,2813544,RS_GCF_014647115.1,2475703,87.9923328016196,SAMD00245259,none,none,none,TRUE,0,Halarchaeum rubridurum,none,4,46,2893,19,46,99.88,1.46
Halarchaeum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,15,42,42,1801507,65.46135632932368,2752016,RS_GCF_039520965.1,2388237,86.7813631897489,SAMD00245261,none,none,none,TRUE,0,Halarchaeum salinum,none,4,45,2953,19,46,93.26,1.52
Halarchaeum solikamskense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,25,42.5,55,2095444,67.10329540265295,3122714,RS_GCF_017874695.1,2731542,87.47333249218468,SAMN18245933,none,none,none,FALSE,0,Halarchaeum solikamskense,none,3,58,3178,19,58,95.25,1.73
Halegenticoccus soli,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halegenticoccus,25,37,50,3086015,66.86956403032994,4615401,RS_GCF_002844195.1,3849515,83.40586224252237,SAMN07633033,China,salt lake,none,TRUE,0,Halegenticoccus soli,4433,8,50,4564,19,50,99.5,4.75
Haloarchaeobius amylolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,25,37,50,3084469,66.93365895238277,4608248,RS_GCF_026616195.1,4050255,87.89142858630872,SAMN29856471,China: Xiamen,Brine of Xidi marine solar saltern,none,TRUE,0,Haloarchaeobius amylolyticus,none,8,52,4537,19,51,99.99,1.62
Haloarchaeobius iranensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,25,40,55,2536760,67.31313199929099,3768606,RS_GCF_900103505.1,3300565,87.58052712329174,SAMN05192554,none,none,none,TRUE,0,Haloarchaeobius iranensis,3738,6,47,3870,19,47,99.89,1.33
Haloarchaeobius litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,25,37,50,2721707,67.21396047433173,4049318,RS_GCF_024495425.1,3573302,88.24453895693053,SAMN29862086,China: Shandong,Saline soil of Gangxi marine solar saltern,none,TRUE,0,Haloarchaeobius litoreus,none,7,46,4062,19,46,99.99,2.52
Haloarchaeobius salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,25,37,50,2584436,67.10971340106012,3851061,RS_GCF_024464185.1,3389136,88.00525361712006,SAMN29881929,China: Shanxi,Yuncheng salt lake,none,TRUE,0,Haloarchaeobius salinus,none,4,61,3840,19,61,99.98,1.43
Haloarcula amylolytica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,20,41,52,2625037,62.12724474405002,4225424,RS_GCF_000336615.1,3643519,86.22848263274881,SAMN02471637,none,none,none,TRUE,0,Haloarcula amylolytica JCM 13557,4134,16,67,4327,19,66,99.99,0.78
Haloarcula argentinensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,20,45,50,2473172,61.311159391978386,4033804,RS_GCF_032905985.1,3514931,87.13688121683651,SAMN36318582,none,none,none,FALSE,0,Haloarcula argentinensis,none,13,67,4135,19,66,99.98,0.21
Haloarcula hispanica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,25,40,50,2432548,62.42278780699794,3896891,RS_GCF_008729095.1,3402878,87.32289407119676,SAMN10411032,South Korea,solar salt,none,FALSE,0,Haloarcula hispanica,none,10,46,3889,19,45,99.97,0.44
Haloarcula japonica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,24,45,45,2617790,61.17553857137349,4279145,RS_GCF_039545195.1,3707587,86.64317287682469,SAMD00539702,none,none,none,FALSE,0,Haloarcula japonica,none,8,47,4366,19,46,99.98,1.92
Haloarcula quadrata,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,30,53,53,2713525,60.85297889799153,4459149,RS_GCF_003634715.1,3858187,86.52294417611971,SAMN05445701,none,none,none,FALSE,0,Haloarcula quadrata,none,10,50,4691,19,49,99.99,1.02
Haloarcula salaria,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,15,37,45,2539441,62.066259318098496,4091500,GB_GCA_000815385.1,3295328,80.54082854698765,SAMN03273288,India: Rann of Kutch; Gujarat,Salt Crystallizer Pond,none,FALSE,none,Haloarcula argentinensis,0,none,none,6042,19,45,63.48,0.84
Haloarcula vallismortis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,20,40,45,2407526,61.78943875263421,3896637,RS_GCF_900106715.1,3420092,87.77035171610802,SAMN05443574,none,none,36.455556 N 116.866667 W,FALSE,0,Haloarcula vallismortis,3848,5,70,4016,19,69,99.78,0.43
Halobacterium hubeiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,22,45,50,2084003,66.57422744138427,3130345,RS_GCF_001488575.1,2738565,87.48444660253104,SAMEA3305703,none,none,none,TRUE,0,Halobacterium hubeiense,3201,3,47,3304,19,47,99.81,0.46
Halobacterium jilantaiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,22,40,55,2005768,67.92784591667818,2952792,RS_GCF_900110535.1,2657115,89.98652800468167,SAMN04487945,none,none,none,TRUE,0,Halobacterium jilantaiense,2986,3,47,3087,19,47,99.99,0.88
Halobacterium litoreum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,20,35,50,1858300,68.59716707690355,2709004,RS_GCF_021233415.1,2463618,90.94183692604366,SAMN23798363,China:Zhoushan,sediment,none,TRUE,0,Halobacterium litoreum,none,3,47,2917,19,47,99.41,1.57
Halobacterium noricense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,28,45,50,2147639,64.7504097327662,3316796,RS_GCF_021233435.1,2858535,86.183624196363,SAMN23798384,Austria,sediment,none,TRUE,0,Halobacterium noricense,none,3,49,3514,19,49,99.94,2.44
Halobacterium rubrum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,20,36,50,2113862,68.608449321855,3081062,RS_GCF_029872365.1,2756736,89.47356463453185,SAMN34247965,China,pickled radish,none,TRUE,0,Halobacterium rubrum,none,6,50,3242,19,50,99.99,0.53
Halobacterium salinarum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,20,50,55,1578043,66.61329587105908,2368961,RS_GCF_014202515.1,2089351,88.19693528091007,SAMN14908392,none,none,none,FALSE,0,Halobacterium salinarum,none,3,47,2458,19,47,99.59,0.06
Halobaculum magnesiiphilum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,25,45,55,2533304,67.87241624134282,3732450,RS_GCF_019823105.1,3231131,86.56863454299454,SAMN20958642,China: Beijing,none,none,TRUE,0,Halobaculum magnesiiphilum,none,6,53,3719,19,53,99.89,0.99
Halobaculum roseum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,25,40,50,2528197,67.96416674977829,3719897,RS_GCF_019880245.1,3220013,86.56188598770342,SAMN20958564,China: Beijing,none,none,TRUE,0,Halobaculum roseum,none,6,56,3722,19,57,99.91,2.18
Halobellus clavatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,25,37,50,2407404,64.11233301500036,3754978,RS_GCF_900107195.1,3279453,87.33614417980611,SAMN04487946,none,none,none,TRUE,0,Halobellus clavatus,3613,8,48,3717,19,48,99.34,1.83
Halobellus inordinatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,20,37,50,2182281,64.03044076435812,3408193,RS_GCF_024464655.1,2957693,86.78185184935244,SAMN29881933,China: Shanxi,Yuncheng salt lake,none,TRUE,0,Halobellus inordinatus,none,5,61,3410,19,61,99.99,0.65
Halobellus limi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,25,45,55,2469721,65.86115859398542,3749890,RS_GCF_004799685.1,3222928,85.94726778652173,SAMN09711302,China,Taibei marine solar saltern near Lianyungang city,none,TRUE,0,Halobellus limi,none,6,51,3710,19,50,99.87,2.59
Halobellus litoreus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,25,37,50,2513350,65.15938623376233,3857234,RS_GCF_024464595.1,3329293,86.31296416032836,SAMN29883267,China: Shandong,Gangxi marine solar saltern,none,TRUE,0,Halobellus litoreus,none,5,49,3749,19,48,99.94,1.43
Halobellus rarus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,20,37,50,2361558,64.60927056652854,3655138,RS_GCF_024494595.1,3143629,86.00575409191117,SAMN29911640,China: Shanxi; Yuncheng,salt lake,none,TRUE,0,Halobellus rarus,none,5,50,3566,19,50,97.13,2.23
Halobellus rufus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,20,37,55,2469969,64.11808362920178,3852219,RS_GCF_000739575.1,3320511,86.19735793837266,SAMD00018744,none,none,none,TRUE,0,Halobellus rufus,3807,3,59,3971,19,59,94.95,4.43
Halobellus salinus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,25,37,45,2005130,65.36840286493906,3067519,RS_GCF_014646875.1,2633986,85.86698240499896,SAMD00245245,none,none,none,TRUE,0,Halobellus salinus,none,4,56,3015,19,55,99.26,0.3
Halobiforma lacisalsi,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halobiforma,24,43.5,57,2859749,65.26808021740287,4381543,RS_GCF_000226975.2,3749736,85.58026247830958,SAMN02470038,China: Xinjian,Ayakekumsalt Lake,none,TRUE,0,Halobiforma lacisalsi AJ5,4177,10,49,4253,19,48,99.99,0.58
Halobiforma nitratireducens,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halobiforma,26,38.5,44,2350543,63.724616012329896,3688747,RS_GCF_000337895.1,3099117,84.01543938903914,SAMN02471660,none,none,none,TRUE,0,Halobiforma nitratireducens JCM 10879,3552,5,44,3676,17,43,85.43,0.18
Halobium salinum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobium,20,37,50,3015467,67.5886815568855,4461805,RS_GCF_026586625.1,3771964,84.53897021496905,SAMN30883932,China: Guangdong,Yangjiang marine solar saltern,none,TRUE,0,Halobium salinum,none,8,51,4373,19,51,99.35,1.63
Halocalculus aciditolerans,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halocalculus,20,40,60,2261913,66.91367301266587,3380345,RS_GCF_014647475.1,2953983,87.38702706380562,SAMD00245280,none,none,none,TRUE,0,Halocalculus aciditolerans,none,3,44,3460,19,44,99.96,0.37
Halococcus agarilyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,22,42,47,2295464,66.02370562888602,3476728,RS_GCF_000334895.1,2993720,86.10739753009152,SAMD00011631,none,none,none,TRUE,0,Halococcus agarilyticus,3371,3,46,3475,19,46,97.89,0.1
Halococcus dombrowskii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,28,38.5,50,2394849,62.31941193828975,3843448,RS_GCF_039522505.1,3318002,86.3287860275461,SAMD00644961,none,none,none,FALSE,0,Halococcus dombrowskii,none,7,53,4011,19,53,98.76,1.07
Halococcus qingdaonensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,26,37.5,45,1754288,64.89208191335851,2703393,RS_GCF_024508235.1,2406198,89.00659282612628,SAMN29883558,China: Shandong,a crude sea-salt sample collected near Qingdao in eastern China,none,TRUE,0,Halococcus qingdaonensis,none,3,47,2792,19,47,95.14,0.09
Halococcus saccharolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,28,37,42,2208759,64.02858844895634,3449700,RS_GCF_000336915.1,3013318,87.35014638954112,SAMN02471639,none,none,none,TRUE,0,Halococcus saccharolyticus DSM 5350,3436,3,48,3582,19,48,99.59,0.35
Halococcus salifodinae,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,28,40,50,2664401,63.44577785937493,4199784,RS_GCF_000336935.1,3588321,85.44060837414496,SAMN02471636,none,none,none,TRUE,0,Halococcus salifodinae DSM 8989,4082,3,52,4323,19,52,99.16,2.33
Halococcus salsus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,20,39,45,2279093,64.71335340624243,3521978,RS_GCF_009900715.1,2991053,84.92537432090717,SAMN13783723,China: Yunnan,Salt mine,22.68 N 101.64 E,TRUE,0,Halococcus salsus,none,3,49,3571,19,49,95.14,0.74
Halococcus sediminicola,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,25,37.5,40,2344949,62.29331518419963,3764367,RS_GCF_000755245.1,3252528,86.40305262478392,SAMD00019895,none,none,none,TRUE,0,Halococcus sediminicola,3748,3,50,3907,19,50,95.52,0.51
